,home,away,date,season,venue,type,toss,winner,man_of_match,points
54,Royal Challengers Bangalore,Mumbai Indians,"28th May, 2008",2008 - 55th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Dilhara Fernando,
55,Kings XI Punjab,Rajasthan Royals,"28th May, 2008",2008 - 56th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kings XI Punjab won by 41 runs,Shaun Marsh,
56,Delhi Daredevils,Rajasthan Royals,"30th May, 2008",2008 - 1st Semi Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Rajasthan Royals won by 105 runs,Shane Watson,
57,Kings XI Punjab,Chennai Super Kings,"31st May, 2008",2008 - 2nd Semi Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Chennai Super Kings won by 9 wickets,Makhaya Ntini,
58,Chennai Super Kings,Rajasthan Royals,"1st June, 2008",2008 - Final,"Dr DY Patil Sports Academy, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Yusuf Pathan,
59,Chennai Super Kings,Mumbai Indians,"18th April, 2009",2009 - 1st Match,"Newlands, Cape Town","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Mumbai Indians won by 19 runs,Sachin Tendulkar,
60,Royal Challengers Bangalore,Rajasthan Royals,"18th April, 2009",2009 - 2nd Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 75 runs,Rahul Dravid,
61,Delhi Daredevils,Kings XI Punjab,"19th April, 2009",2009 - 3rd Match,"Newlands, Cape Town","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 10 wickets [D/L Method],Daniel Vettori,"Delhi Daredevils 2, Kings XI Punjab 0"
62,Deccan Chargers,Kolkata Knight Riders,"19th April, 2009",2009 - 4th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Deccan Chargers won by 8 wickets,R P Singh,
63,Royal Challengers Bangalore,Chennai Super Kings,"20th April, 2009",2009 - 5th Match,"St George's Park, Port Elizabeth","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 92 runs,Muttiah Muralitharan,
64,Kings XI Punjab,Kolkata Knight Riders,"21st April, 2009",2009 - 6th Match,"Kingsmead, Durban","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 11 runs [D/L Method],Chris Gayle,"Kolkata Knight Riders 2, Kings XI Punjab 0"
65,Mumbai Indians,Rajasthan Royals,"21st April, 2009",2009 - 7th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,
66,Royal Challengers Bangalore,Deccan Chargers,"22nd April, 2009",2009 - 8th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 24 runs,Adam Gilchrist,
67,Chennai Super Kings,Delhi Daredevils,"23rd April, 2009",2009 - 9th Match,"Kingsmead, Durban","20 Overs, Day Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 9 runs,AB de Villiers,
68,Kolkata Knight Riders,Rajasthan Royals,"23rd April, 2009",2009 - 10th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won in super over after scores were tied,Yusuf Pathan,
69,Royal Challengers Bangalore,Kings XI Punjab,"24th April, 2009",2009 - 11th Match,"Kingsmead, Durban","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 7 wickets,Ravi Bopara,
70,Deccan Chargers,Mumbai Indians,"25th April, 2009",2009 - 12th Match,"Kingsmead, Durban","20 Overs, Day Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 12 runs,Pragyan Ojha,
71,Chennai Super Kings,Kolkata Knight Riders,"25th April, 2009",2009 - 13th Match,"Newlands, Cape Town","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,
72,Royal Challengers Bangalore,Delhi Daredevils,"26th April, 2009",2009 - 14th Match,"St George's Park, Port Elizabeth","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Tillakaratne Dilshan,
