,home,away,date,season,venue,type,toss,winner,man_of_match,points
516,Kings XI Punjab,Chennai Super Kings,"16th May, 2015",2015 - 53rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Pawan Negi,
517,Rajasthan Royals,Kolkata Knight Riders,"16th May, 2015",2015 - 54th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 9 runs,Shane Watson,
518,Royal Challengers Bangalore,Delhi Daredevils,"17th May, 2015",2015 - 55th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,No result,No Award,"Royal Challengers Bangalore 1, Delhi Daredevils 1"
519,Sunrisers Hyderabad,Mumbai Indians,"17th May, 2015",2015 - 56th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Mumbai Indians won by 9 wickets,Mitchell McClenaghan,
520,Chennai Super Kings,Mumbai Indians,"19th May, 2015",2015 - 1st Qualifying Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 25 runs,Kieron Pollard,
521,Royal Challengers Bangalore,Rajasthan Royals,"20th May, 2015",2015 - 1st Elimination Final,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 71 runs,AB de Villiers,"Royal Challengers Bangalore 2, Rajasthan Royals 0"
522,Chennai Super Kings,Royal Challengers Bangalore,"22nd May, 2015",2015 - 2nd Qualifying Final,"JSCA International Stadium Complex, Ranchi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 3 wickets,Ashish Nehra,"Chennai Super Kings 2, Royal Challengers Bangalore 0"
523,Mumbai Indians,Chennai Super Kings,"24th May, 2015",2015 - Final,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Mumbai Indians won by 41 runs,Rohit Sharma,"Mumbai Indians 2, Chennai Super Kings 0"
524,Mumbai Indians,Rising Pune Supergiant,"9th April, 2016",2016 - 1st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Rising Pune Supergiant won by 9 wickets,Ajinkya Rahane,
525,Kolkata Knight Riders,Delhi Daredevils,"10th April, 2016",2016 - 2nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 9 wickets,Andre Russell,
526,Kings XI Punjab,Gujarat Lions,"11th April, 2016",2016 - 3rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 5 wickets,Aaron Finch,
527,Royal Challengers Bangalore,Sunrisers Hyderabad,"12th April, 2016",2016 - 4th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Royal Challengers Bangalore won by 45 runs,AB de Villiers,
528,Kolkata Knight Riders,Mumbai Indians,"13th April, 2016",2016 - 5th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Rohit Sharma,
529,Gujarat Lions,Rising Pune Supergiant,"14th April, 2016",2016 - 6th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to bat,Gujarat Lions won by 7 wickets,Aaron Finch,
530,Delhi Daredevils,Kings XI Punjab,"15th April, 2016",2016 - 7th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Amit Mishra,
531,Sunrisers Hyderabad,Kolkata Knight Riders,"16th April, 2016",2016 - 8th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Gautam Gambhir,
532,Mumbai Indians,Gujarat Lions,"16th April, 2016",2016 - 9th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 3 wickets,Aaron Finch,
533,Kings XI Punjab,Rising Pune Supergiant,"17th April, 2016",2016 - 10th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Manan Vohra,
534,Royal Challengers Bangalore,Delhi Daredevils,"17th April, 2016",2016 - 11th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Quinton de Kock,
535,Sunrisers Hyderabad,Mumbai Indians,"18th April, 2016",2016 - 12th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 7 wickets,David Warner,
536,Kings XI Punjab,Kolkata Knight Riders,"19th April, 2016",2016 - 13th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Robin Uthappa,
537,Mumbai Indians,Royal Challengers Bangalore,"20th April, 2016",2016 - 14th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Rohit Sharma,
538,Gujarat Lions,Sunrisers Hyderabad,"21st April, 2016",2016 - 15th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 10 wickets,Bhuvneshwar Kumar,
539,Rising Pune Supergiant,Royal Challengers Bangalore,"22nd April, 2016",2016 - 16th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Royal Challengers Bangalore won by 13 runs,AB de Villiers,
540,Delhi Daredevils,Mumbai Indians,"23rd April, 2016",2016 - 17th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Delhi Daredevils won by 10 runs,Sanju Samson,
541,Kings XI Punjab,Sunrisers Hyderabad,"23rd April, 2016",2016 - 18th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Mustafizur Rahman,
542,Gujarat Lions,Royal Challengers Bangalore,"24th April, 2016",2016 - 19th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Gujarat Lions won by 6 wickets,Virat Kohli,
543,Rising Pune Supergiant,Kolkata Knight Riders,"24th April, 2016",2016 - 20th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 2 wickets,Suryakumar Yadav,
544,Kings XI Punjab,Mumbai Indians,"25th April, 2016",2016 - 21st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Mumbai Indians won by 25 runs,Parthiv Patel,
545,Sunrisers Hyderabad,Rising Pune Supergiant,"26th April, 2016",2016 - 22nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 34 runs [D/L Method],Ashok Dinda,"Rising Pune Supergiant 2, Sunrisers Hyderabad 0"
546,Delhi Daredevils,Gujarat Lions,"27th April, 2016",2016 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Gujarat Lions won by 1 run,Chris Morris,
547,Mumbai Indians,Kolkata Knight Riders,"28th April, 2016",2016 - 24th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Rohit Sharma,
548,Rising Pune Supergiant,Gujarat Lions,"29th April, 2016",2016 - 25th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 3 wickets,Dwayne Smith,
549,Delhi Daredevils,Kolkata Knight Riders,"30th April, 2016",2016 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Daredevils won by 27 runs,Carlos Brathwaite,
550,Sunrisers Hyderabad,Royal Challengers Bangalore,"30th April, 2016",2016 - 27th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 15 runs,David Warner,
551,Gujarat Lions,Kings XI Punjab,"1st May, 2016",2016 - 28th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Kings XI Punjab won by 23 runs,Axar Patel,
552,Rising Pune Supergiant,Mumbai Indians,"1st May, 2016",2016 - 29th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Rohit Sharma,
553,Royal Challengers Bangalore,Kolkata Knight Riders,"2nd May, 2016",2016 - 30th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Andre Russell,
554,Gujarat Lions,Delhi Daredevils,"3rd May, 2016",2016 - 31st Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Rishabh Pant,
555,Kolkata Knight Riders,Kings XI Punjab,"4th May, 2016",2016 - 32nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kolkata Knight Riders won by 7 runs,Andre Russell,
556,Delhi Daredevils,Rising Pune Supergiant,"5th May, 2016",2016 - 33rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 7 wickets,Ajinkya Rahane,
557,Sunrisers Hyderabad,Gujarat Lions,"6th May, 2016",2016 - 34th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Bhuvneshwar Kumar,
558,Royal Challengers Bangalore,Rising Pune Supergiant,"7th May, 2016",2016 - 35th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Virat Kohli,
559,Kings XI Punjab,Delhi Daredevils,"7th May, 2016",2016 - 36th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Kings XI Punjab won by 9 runs,Marcus Stoinis,
560,Mumbai Indians,Sunrisers Hyderabad,"8th May, 2016",2016 - 37th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Sunrisers Hyderabad won by 85 runs,Ashish Nehra,
561,Kolkata Knight Riders,Gujarat Lions,"8th May, 2016",2016 - 38th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 5 wickets,Praveen Kumar,
562,Kings XI Punjab,Royal Challengers Bangalore,"9th May, 2016",2016 - 39th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Royal Challengers Bangalore won by 1 run,Shane Watson,
563,Rising Pune Supergiant,Sunrisers Hyderabad,"10th May, 2016",2016 - 40th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 4 runs,Adam Zampa,
564,Royal Challengers Bangalore,Mumbai Indians,"11th May, 2016",2016 - 41st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Krunal Pandya,
565,Sunrisers Hyderabad,Delhi Daredevils,"12th May, 2016",2016 - 42nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Chris Morris,
566,Mumbai Indians,Kings XI Punjab,"13th May, 2016",2016 - 43rd Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won by 7 wickets,Marcus Stoinis,
567,Royal Challengers Bangalore,Gujarat Lions,"14th May, 2016",2016 - 44th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Royal Challengers Bangalore won by 144 runs,AB de Villiers,
568,Kolkata Knight Riders,Rising Pune Supergiant,"14th May, 2016",2016 - 45th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets [D/L Method],Yusuf Pathan,
569,Kings XI Punjab,Sunrisers Hyderabad,"15th May, 2016",2016 - 46th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Hashim Amla,
570,Mumbai Indians,Delhi Daredevils,"15th May, 2016",2016 - 47th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 80 runs,Krunal Pandya,
571,Kolkata Knight Riders,Royal Challengers Bangalore,"16th May, 2016",2016 - 48th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 9 wickets,Virat Kohli,
572,Rising Pune Supergiant,Delhi Daredevils,"17th May, 2016",2016 - 49th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 19 runs [D/L Method],Ashok Dinda,"Rising Pune Supergiant 2, Delhi Daredevils 0"
573,Royal Challengers Bangalore,Kings XI Punjab,"18th May, 2016",2016 - 50th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Royal Challengers Bangalore won by 82 runs [D/L Method],Virat Kohli,"Royal Challengers Bangalore 2, Kings XI Punjab 0"
574,Gujarat Lions,Kolkata Knight Riders,"19th May, 2016",2016 - 51st Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 6 wickets,Dwayne Smith,
575,Delhi Daredevils,Sunrisers Hyderabad,"20th May, 2016",2016 - 52nd Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Karun Nair,
576,Rising Pune Supergiant,Kings XI Punjab,"21st May, 2016",2016 - 53rd Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Rising Pune Supergiant won by 4 wickets,M S Dhoni,
577,Gujarat Lions,Mumbai Indians,"21st May, 2016",2016 - 54th Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 6 wickets,Suresh Raina,
578,Kolkata Knight Riders,Sunrisers Hyderabad,"22nd May, 2016",2016 - 55th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 22 runs,Yusuf Pathan,
579,Delhi Daredevils,Royal Challengers Bangalore,"22nd May, 2016",2016 - 56th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,Virat Kohli,
580,Royal Challengers Bangalore,Gujarat Lions,"24th May, 2016",2016 - 1st Qualifying Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,AB de Villiers,
581,Sunrisers Hyderabad,Kolkata Knight Riders,"25th May, 2016",2016 - Elimination Final,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Sunrisers Hyderabad won by 22 runs,Moises Henriques,
582,Gujarat Lions,Sunrisers Hyderabad,"27th May, 2016",2016 - Qualifying Final,"Arun Jaitley Stadium, Delhi","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 4 wickets,David Warner,"Sunrisers Hyderabad 2, Gujarat Lions 0"
583,Royal Challengers Bangalore,Sunrisers Hyderabad,"29th May, 2016",2016 - Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 8 runs,Ben Cutting,
584,Sunrisers Hyderabad,Royal Challengers Bangalore,"5th April, 2017",2017 - 1st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 35 runs,Yuvraj Singh,
585,Rising Pune Supergiant,Mumbai Indians,"6th April, 2017",2017 - 2nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 7 wickets,Steve Smith,
586,Gujarat Lions,Kolkata Knight Riders,"7th April, 2017",2017 - 3rd Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 10 wickets,Chris Lynn,
587,Kings XI Punjab,Rising Pune Supergiant,"8th April, 2017",2017 - 4th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Glenn Maxwell,
588,Royal Challengers Bangalore,Delhi Daredevils,"8th April, 2017",2017 - 5th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,
589,Sunrisers Hyderabad,Gujarat Lions,"9th April, 2017",2017 - 6th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 9 wickets,Rashid Khan,
590,Mumbai Indians,Kolkata Knight Riders,"9th April, 2017",2017 - 7th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Nitish Rana,
591,Kings XI Punjab,Royal Challengers Bangalore,"10th April, 2017",2017 - 8th Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 8 wickets,Axar Patel,
592,Rising Pune Supergiant,Delhi Daredevils,"11th April, 2017",2017 - 9th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Delhi Daredevils won by 97 runs,Sanju Samson,
593,Mumbai Indians,Sunrisers Hyderabad,"12th April, 2017",2017 - 10th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Jasprit Bumrah,
594,Kolkata Knight Riders,Kings XI Punjab,"13th April, 2017",2017 - 11th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 8 wickets,Sunil Narine,
595,Royal Challengers Bangalore,Mumbai Indians,"14th April, 2017",2017 - 12th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 4 wickets,Kieron Pollard,
596,Gujarat Lions,Rising Pune Supergiant,"14th April, 2017",2017 - 13th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 7 wickets,Andrew Tye,
597,Kolkata Knight Riders,Sunrisers Hyderabad,"15th April, 2017",2017 - 14th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 17 runs,Robin Uthappa,
598,Delhi Daredevils,Kings XI Punjab,"15th April, 2017",2017 - 15th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 51 runs,Corey Anderson,
599,Mumbai Indians,Gujarat Lions,"16th April, 2017",2017 - 16th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Nitish Rana,
600,Royal Challengers Bangalore,Rising Pune Supergiant,"16th April, 2017",2017 - 17th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rising Pune Supergiant won by 27 runs,Ben Stokes,
601,Delhi Daredevils,Kolkata Knight Riders,"17th April, 2017",2017 - 18th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kolkata Knight Riders won by 4 wickets,Nathan Coulter-Nile,
602,Sunrisers Hyderabad,Kings XI Punjab,"17th April, 2017",2017 - 19th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 5 runs,Bhuvneshwar Kumar,
603,Gujarat Lions,Royal Challengers Bangalore,"18th April, 2017",2017 - 20th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,
604,Sunrisers Hyderabad,Delhi Daredevils,"19th April, 2017",2017 - 21st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 15 runs,Kane Williamson,
605,Kings XI Punjab,Mumbai Indians,"20th April, 2017",2017 - 22nd Match,"Holkar Cricket Stadium, Indore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Jos Buttler,
606,Kolkata Knight Riders,Gujarat Lions,"21st April, 2017",2017 - 23rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 4 wickets,Suresh Raina,
607,Sunrisers Hyderabad,Rising Pune Supergiant,"22nd April, 2017",2017 - 24th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 6 wickets,M S Dhoni,
608,Mumbai Indians,Delhi Daredevils,"22nd April, 2017",2017 - 25th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 14 runs,Mitchell McClenaghan,
609,Kings XI Punjab,Gujarat Lions,"22nd April, 2017",2017 - 26th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Kings XI Punjab won by 26 runs,Hashim Amla,
610,Kolkata Knight Riders,Royal Challengers Bangalore,"23rd April, 2017",2017 - 27th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kolkata Knight Riders won by 82 runs,Nathan Coulter-Nile,
611,Mumbai Indians,Rising Pune Supergiant,"24th April, 2017",2017 - 28th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Rising Pune Supergiant won by 3 runs,Ben Stokes,
612,Royal Challengers Bangalore,Sunrisers Hyderabad,"25th April, 2017",2017 - 29th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day Match",No Toss,Match abandoned,No Award,"Royal Challengers Bangalore 1, Sunrisers Hyderabad 1"
613,Rising Pune Supergiant,Kolkata Knight Riders,"26th April, 2017",2017 - 30th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Robin Uthappa,
614,Royal Challengers Bangalore,Gujarat Lions,"27th April, 2017",2017 - 31st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 7 wickets,Andrew Tye,
615,Kolkata Knight Riders,Delhi Daredevils,"28th April, 2017",2017 - 32nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Gautam Gambhir,
616,Kings XI Punjab,Sunrisers Hyderabad,"28th April, 2017",2017 - 33rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 26 runs,Rashid Khan,
617,Rising Pune Supergiant,Royal Challengers Bangalore,"29th April, 2017",2017 - 34th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Rising Pune Supergiant won by 61 runs,Lockie Ferguson,
618,Gujarat Lions,Mumbai Indians,"29th April, 2017",2017 - 35th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to bat,Mumbai Indians won in super over after scores were tied,Krunal Pandya,"Mumbai Indians 2, Gujarat Lions 0"
619,Kings XI Punjab,Delhi Daredevils,"30th April, 2017",2017 - 36th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 10 wickets,Sandeep Sharma,
620,Sunrisers Hyderabad,Kolkata Knight Riders,"30th April, 2017",2017 - 37th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Sunrisers Hyderabad won by 48 runs,David Warner,
