,home,away,date,season,venue,type,toss,winner,man_of_match,points
228,Delhi Daredevils,Kolkata Knight Riders,"20th April, 2015",2015 - 17th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Umesh Yadav,
229,Rajasthan Royals,Kings XI Punjab,"21st April, 2015",2015 - 18th Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won one-over eliminator after scores were tied,Shaun Marsh,"Kings XI Punjab 2, Rajasthan Royals 0"
230,Sunrisers Hyderabad,Kolkata Knight Riders,"22nd April, 2015",2015 - 19th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Sunrisers Hyderabad won by 16 runs [D/L Method],David Warner,
231,Royal Challengers Bangalore,Chennai Super Kings,"22nd April, 2015",2015 - 20th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Chennai Super Kings won by 27 runs,Suresh Raina,
232,Delhi Daredevils,Mumbai Indians,"23rd April, 2015",2015 - 21st Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Delhi Daredevils won by 37 runs,Shreyas Iyer,
233,Rajasthan Royals,Royal Challengers Bangalore,"24th April, 2015",2015 - 22nd Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 9 wickets,Mitchell Starc,
234,Mumbai Indians,Sunrisers Hyderabad,"25th April, 2015",2015 - 23rd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 20 runs,Lasith Malinga,
235,Chennai Super Kings,Kings XI Punjab,"25th April, 2015",2015 - 24th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 97 runs,Brendon McCullum,
236,Kolkata Knight Riders,Rajasthan Royals,"26th April, 2015",2015 - 25th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,
237,Delhi Daredevils,Royal Challengers Bangalore,"26th April, 2015",2015 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 10 wickets,Varun Aaron,
238,Kings XI Punjab,Sunrisers Hyderabad,"27th April, 2015",2015 - 27th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Sunrisers Hyderabad won by 20 runs,Trent Boult,
239,Chennai Super Kings,Kolkata Knight Riders,"28th April, 2015",2015 - 28th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 2 runs,Dwayne Bravo,
240,Royal Challengers Bangalore,Rajasthan Royals,"29th April, 2015",2015 - 29th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,No result,No Award,
241,Kolkata Knight Riders,Chennai Super Kings,"30th April, 2015",2015 - 30th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Andre Russell,
242,Delhi Daredevils,Kings XI Punjab,"1st May, 2015",2015 - 31st Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 9 wickets,Nathan Coulter-Nile,
243,Mumbai Indians,Rajasthan Royals,"1st May, 2015",2015 - 32nd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Mumbai Indians won by 8 runs,Ambati Rayudu,
244,Royal Challengers Bangalore,Kolkata Knight Riders,"2nd May, 2015",2015 - 33rd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Mandeep Singh,"Royal Challengers Bangalore 2, Kolkata Knight Riders 0"
245,Sunrisers Hyderabad,Chennai Super Kings,"2nd May, 2015",2015 - 34th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Sunrisers Hyderabad won by 22 runs,David Warner,
246,Kings XI Punjab,Mumbai Indians,"3rd May, 2015",2015 - 35th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 23 runs,Lendl Simmons,
247,Rajasthan Royals,Delhi Daredevils,"3rd May, 2015",2015 - 36th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Rajasthan Royals won by 14 runs,Ajinkya Rahane,
248,Chennai Super Kings,Royal Challengers Bangalore,"4th May, 2015",2015 - 37th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 24 runs,Suresh Raina,
249,Kolkata Knight Riders,Sunrisers Hyderabad,"4th May, 2015",2015 - 38th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 35 runs,Umesh Yadav,
250,Mumbai Indians,Delhi Daredevils,"5th May, 2015",2015 - 39th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Mumbai Indians won by 5 wickets,Harbhajan Singh,
251,Royal Challengers Bangalore,Kings XI Punjab,"6th May, 2015",2015 - 40th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day Match",Kings XI Punjab won the toss and elected to field,Royal Challengers Bangalore won by 138 runs,Chris Gayle,
252,Rajasthan Royals,Sunrisers Hyderabad,"7th May, 2015",2015 - 41st Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Sunrisers Hyderabad won by 7 runs,Eoin Morgan,
253,Kolkata Knight Riders,Delhi Daredevils,"7th May, 2015",2015 - 42nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 13 runs,Piyush Chawla,
254,Chennai Super Kings,Mumbai Indians,"8th May, 2015",2015 - 43rd Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Mumbai Indians won by 6 wickets,Hardik Pandya,
255,Kolkata Knight Riders,Kings XI Punjab,"9th May, 2015",2015 - 44th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 1 wicket,Andre Russell,
256,Delhi Daredevils,Sunrisers Hyderabad,"9th May, 2015",2015 - 45th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 6 runs,Moises Henriques,
257,Mumbai Indians,Royal Challengers Bangalore,"10th May, 2015",2015 - 46th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 39 runs,AB de Villiers,
258,Chennai Super Kings,Rajasthan Royals,"10th May, 2015",2015 - 47th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 12 runs,Ravindra Jadeja,
259,Sunrisers Hyderabad,Kings XI Punjab,"11th May, 2015",2015 - 48th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 5 runs,David Warner,
260,Delhi Daredevils,Chennai Super Kings,"12th May, 2015",2015 - 49th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day Match",Chennai Super Kings won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Zaheer Khan,
261,Kings XI Punjab,Royal Challengers Bangalore,"13th May, 2015",2015 - 50th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kings XI Punjab won by 22 runs,Axar Patel,"Kings XI Punjab 2, Royal Challengers Bangalore 0"
262,Mumbai Indians,Kolkata Knight Riders,"14th May, 2015",2015 - 51st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 5 runs,Hardik Pandya,
263,Sunrisers Hyderabad,Royal Challengers Bangalore,"15th May, 2015",2015 - 52nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets [D/L Method],Virat Kohli,"Royal Challengers Bangalore 2, Sunrisers Hyderabad 0"
264,Kings XI Punjab,Chennai Super Kings,"16th May, 2015",2015 - 53rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Pawan Negi,
265,Rajasthan Royals,Kolkata Knight Riders,"16th May, 2015",2015 - 54th Match,"Brabourne Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 9 runs,Shane Watson,
266,Royal Challengers Bangalore,Delhi Daredevils,"17th May, 2015",2015 - 55th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,No result,No Award,"Royal Challengers Bangalore 1, Delhi Daredevils 1"
267,Sunrisers Hyderabad,Mumbai Indians,"17th May, 2015",2015 - 56th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Mumbai Indians won by 9 wickets,Mitchell McClenaghan,
268,Chennai Super Kings,Mumbai Indians,"19th May, 2015",2015 - 1st Qualifying Final,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 25 runs,Kieron Pollard,
269,Royal Challengers Bangalore,Rajasthan Royals,"20th May, 2015",2015 - 1st Elimination Final,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 71 runs,AB de Villiers,"Royal Challengers Bangalore 2, Rajasthan Royals 0"
270,Chennai Super Kings,Royal Challengers Bangalore,"22nd May, 2015",2015 - 2nd Qualifying Final,"JSCA International Stadium Complex, Ranchi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 3 wickets,Ashish Nehra,"Chennai Super Kings 2, Royal Challengers Bangalore 0"
271,Mumbai Indians,Chennai Super Kings,"24th May, 2015",2015 - Final,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Mumbai Indians won by 41 runs,Rohit Sharma,"Mumbai Indians 2, Chennai Super Kings 0"
272,Mumbai Indians,Rising Pune Supergiant,"9th April, 2016",2016 - 1st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Rising Pune Supergiant won by 9 wickets,Ajinkya Rahane,
273,Kolkata Knight Riders,Delhi Daredevils,"10th April, 2016",2016 - 2nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 9 wickets,Andre Russell,
274,Kings XI Punjab,Gujarat Lions,"11th April, 2016",2016 - 3rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 5 wickets,Aaron Finch,
275,Royal Challengers Bangalore,Sunrisers Hyderabad,"12th April, 2016",2016 - 4th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Royal Challengers Bangalore won by 45 runs,AB de Villiers,
276,Kolkata Knight Riders,Mumbai Indians,"13th April, 2016",2016 - 5th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Rohit Sharma,
277,Gujarat Lions,Rising Pune Supergiant,"14th April, 2016",2016 - 6th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to bat,Gujarat Lions won by 7 wickets,Aaron Finch,
278,Delhi Daredevils,Kings XI Punjab,"15th April, 2016",2016 - 7th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Amit Mishra,
279,Sunrisers Hyderabad,Kolkata Knight Riders,"16th April, 2016",2016 - 8th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Gautam Gambhir,
280,Mumbai Indians,Gujarat Lions,"16th April, 2016",2016 - 9th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 3 wickets,Aaron Finch,
281,Kings XI Punjab,Rising Pune Supergiant,"17th April, 2016",2016 - 10th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Manan Vohra,
282,Royal Challengers Bangalore,Delhi Daredevils,"17th April, 2016",2016 - 11th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Quinton de Kock,
283,Sunrisers Hyderabad,Mumbai Indians,"18th April, 2016",2016 - 12th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 7 wickets,David Warner,
284,Kings XI Punjab,Kolkata Knight Riders,"19th April, 2016",2016 - 13th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 7 wickets,Robin Uthappa,
285,Mumbai Indians,Royal Challengers Bangalore,"20th April, 2016",2016 - 14th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Rohit Sharma,
286,Gujarat Lions,Sunrisers Hyderabad,"21st April, 2016",2016 - 15th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 10 wickets,Bhuvneshwar Kumar,
287,Rising Pune Supergiant,Royal Challengers Bangalore,"22nd April, 2016",2016 - 16th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Royal Challengers Bangalore won by 13 runs,AB de Villiers,
288,Delhi Daredevils,Mumbai Indians,"23rd April, 2016",2016 - 17th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Delhi Daredevils won by 10 runs,Sanju Samson,
289,Kings XI Punjab,Sunrisers Hyderabad,"23rd April, 2016",2016 - 18th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Mustafizur Rahman,
290,Gujarat Lions,Royal Challengers Bangalore,"24th April, 2016",2016 - 19th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Gujarat Lions won by 6 wickets,Virat Kohli,
291,Rising Pune Supergiant,Kolkata Knight Riders,"24th April, 2016",2016 - 20th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 2 wickets,Suryakumar Yadav,
292,Kings XI Punjab,Mumbai Indians,"25th April, 2016",2016 - 21st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Mumbai Indians won by 25 runs,Parthiv Patel,
293,Sunrisers Hyderabad,Rising Pune Supergiant,"26th April, 2016",2016 - 22nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 34 runs [D/L Method],Ashok Dinda,"Rising Pune Supergiant 2, Sunrisers Hyderabad 0"
294,Delhi Daredevils,Gujarat Lions,"27th April, 2016",2016 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Gujarat Lions won by 1 run,Chris Morris,
295,Mumbai Indians,Kolkata Knight Riders,"28th April, 2016",2016 - 24th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Rohit Sharma,
296,Rising Pune Supergiant,Gujarat Lions,"29th April, 2016",2016 - 25th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 3 wickets,Dwayne Smith,
297,Delhi Daredevils,Kolkata Knight Riders,"30th April, 2016",2016 - 26th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Daredevils won by 27 runs,Carlos Brathwaite,
298,Sunrisers Hyderabad,Royal Challengers Bangalore,"30th April, 2016",2016 - 27th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 15 runs,David Warner,
299,Gujarat Lions,Kings XI Punjab,"1st May, 2016",2016 - 28th Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Kings XI Punjab won by 23 runs,Axar Patel,
300,Rising Pune Supergiant,Mumbai Indians,"1st May, 2016",2016 - 29th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Rohit Sharma,
301,Royal Challengers Bangalore,Kolkata Knight Riders,"2nd May, 2016",2016 - 30th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Andre Russell,
302,Gujarat Lions,Delhi Daredevils,"3rd May, 2016",2016 - 31st Match,"Saurashtra Cricket Association Stadium, Khandheri, Rajkot","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Rishabh Pant,
303,Kolkata Knight Riders,Kings XI Punjab,"4th May, 2016",2016 - 32nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kolkata Knight Riders won by 7 runs,Andre Russell,
304,Delhi Daredevils,Rising Pune Supergiant,"5th May, 2016",2016 - 33rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 7 wickets,Ajinkya Rahane,
305,Sunrisers Hyderabad,Gujarat Lions,"6th May, 2016",2016 - 34th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Bhuvneshwar Kumar,
306,Royal Challengers Bangalore,Rising Pune Supergiant,"7th May, 2016",2016 - 35th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Virat Kohli,
307,Kings XI Punjab,Delhi Daredevils,"7th May, 2016",2016 - 36th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Kings XI Punjab won by 9 runs,Marcus Stoinis,
308,Mumbai Indians,Sunrisers Hyderabad,"8th May, 2016",2016 - 37th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Sunrisers Hyderabad won by 85 runs,Ashish Nehra,
309,Kolkata Knight Riders,Gujarat Lions,"8th May, 2016",2016 - 38th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 5 wickets,Praveen Kumar,
310,Kings XI Punjab,Royal Challengers Bangalore,"9th May, 2016",2016 - 39th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Royal Challengers Bangalore won by 1 run,Shane Watson,
311,Rising Pune Supergiant,Sunrisers Hyderabad,"10th May, 2016",2016 - 40th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 4 runs,Adam Zampa,
312,Royal Challengers Bangalore,Mumbai Indians,"11th May, 2016",2016 - 41st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 6 wickets,Krunal Pandya,
313,Sunrisers Hyderabad,Delhi Daredevils,"12th May, 2016",2016 - 42nd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Chris Morris,
314,Mumbai Indians,Kings XI Punjab,"13th May, 2016",2016 - 43rd Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won by 7 wickets,Marcus Stoinis,
315,Royal Challengers Bangalore,Gujarat Lions,"14th May, 2016",2016 - 44th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Royal Challengers Bangalore won by 144 runs,AB de Villiers,
316,Kolkata Knight Riders,Rising Pune Supergiant,"14th May, 2016",2016 - 45th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets [D/L Method],Yusuf Pathan,
317,Kings XI Punjab,Sunrisers Hyderabad,"15th May, 2016",2016 - 46th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Hashim Amla,
318,Mumbai Indians,Delhi Daredevils,"15th May, 2016",2016 - 47th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Mumbai Indians won by 80 runs,Krunal Pandya,
319,Kolkata Knight Riders,Royal Challengers Bangalore,"16th May, 2016",2016 - 48th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 9 wickets,Virat Kohli,
320,Rising Pune Supergiant,Delhi Daredevils,"17th May, 2016",2016 - 49th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Rising Pune Supergiant won the toss and elected to field,Rising Pune Supergiant won by 19 runs [D/L Method],Ashok Dinda,"Rising Pune Supergiant 2, Delhi Daredevils 0"
321,Royal Challengers Bangalore,Kings XI Punjab,"18th May, 2016",2016 - 50th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Royal Challengers Bangalore won by 82 runs [D/L Method],Virat Kohli,"Royal Challengers Bangalore 2, Kings XI Punjab 0"
322,Gujarat Lions,Kolkata Knight Riders,"19th May, 2016",2016 - 51st Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 6 wickets,Dwayne Smith,
323,Delhi Daredevils,Sunrisers Hyderabad,"20th May, 2016",2016 - 52nd Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Karun Nair,
324,Rising Pune Supergiant,Kings XI Punjab,"21st May, 2016",2016 - 53rd Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Rising Pune Supergiant won by 4 wickets,M S Dhoni,
325,Gujarat Lions,Mumbai Indians,"21st May, 2016",2016 - 54th Match,"Green Park, Kanpur","20 Overs, Day/Night Match",Gujarat Lions won the toss and elected to field,Gujarat Lions won by 6 wickets,Suresh Raina,
326,Kolkata Knight Riders,Sunrisers Hyderabad,"22nd May, 2016",2016 - 55th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 22 runs,Yusuf Pathan,
327,Delhi Daredevils,Royal Challengers Bangalore,"22nd May, 2016",2016 - 56th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 6 wickets,Virat Kohli,
328,Royal Challengers Bangalore,Gujarat Lions,"24th May, 2016",2016 - 1st Qualifying Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 4 wickets,AB de Villiers,
329,Sunrisers Hyderabad,Kolkata Knight Riders,"25th May, 2016",2016 - Elimination Final,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Sunrisers Hyderabad won by 22 runs,Moises Henriques,
330,Gujarat Lions,Sunrisers Hyderabad,"27th May, 2016",2016 - Qualifying Final,"Arun Jaitley Stadium, Delhi","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 4 wickets,David Warner,"Sunrisers Hyderabad 2, Gujarat Lions 0"
331,Royal Challengers Bangalore,Sunrisers Hyderabad,"29th May, 2016",2016 - Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 8 runs,Ben Cutting,
332,Sunrisers Hyderabad,Royal Challengers Bangalore,"5th April, 2017",2017 - 1st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Sunrisers Hyderabad won by 35 runs,Yuvraj Singh,
