,home,away,date,season,venue,type,toss,winner,man_of_match,points
557,Kolkata Knight Riders,Kings XI Punjab,"26th October, 2020",2020 - 46th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 8 wickets,Chris Gayle,
558,Delhi Capitals,Sunrisers Hyderabad,"27th October, 2020",2020 - 47th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Sunrisers Hyderabad won by 88 runs,Wriddhiman Saha,
559,Mumbai Indians,Royal Challengers Bangalore,"28th October, 2020",2020 - 48th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Suryakumar Yadav,
560,Chennai Super Kings,Kolkata Knight Riders,"29th October, 2020",2020 - 49th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Ruturaj Gaikwad,
561,Kings XI Punjab,Rajasthan Royals,"30th October, 2020",2020 - 50th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 7 wickets,Ben Stokes,
562,Delhi Capitals,Mumbai Indians,"31st October, 2020",2020 - 51st Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 9 wickets,Ishan Kishan,
563,Royal Challengers Bangalore,Sunrisers Hyderabad,"31st October, 2020",2020 - 52nd Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 5 wickets,Sandeep Sharma,
564,Chennai Super Kings,Kings XI Punjab,"1st November, 2020",2020 - 53rd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 9 wickets,Ruturaj Gaikwad,
565,Kolkata Knight Riders,Rajasthan Royals,"1st November, 2020",2020 - 54th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Kolkata Knight Riders won by 60 runs,Pat Cummins,
566,Delhi Capitals,Royal Challengers Bangalore,"2nd November, 2020",2020 - 55th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 6 wickets,Anrich Nortje,
567,Mumbai Indians,Sunrisers Hyderabad,"3rd November, 2020",2020 - 56th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 10 wickets,Shahbaz Nadeem,
568,Delhi Capitals,Mumbai Indians,"5th November, 2020",2020 - 1st Qualifying Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Mumbai Indians won by 57 runs,Jasprit Bumrah,
569,Royal Challengers Bangalore,Sunrisers Hyderabad,"6th November, 2020",2020 - Elimination Final,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 6 wickets,Kane Williamson,
570,Delhi Capitals,Sunrisers Hyderabad,"8th November, 2020",2020 - 2nd Qualifying Final,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won by 17 runs,Marcus Stoinis,
571,Delhi Capitals,Mumbai Indians,"10th November, 2020",2020 - Final,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Delhi Capitals won the toss and elected to bat,Mumbai Indians won by 5 wickets,Trent Boult,
572,Mumbai Indians,Royal Challengers Bangalore,"9th April, 2021",2021 - 1st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 2 wickets,Harshal Patel,
573,Chennai Super Kings,Delhi Capitals,"10th April, 2021",2021 - 2nd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 7 wickets,Shikhar Dhawan,
574,Kolkata Knight Riders,Sunrisers Hyderabad,"11th April, 2021",2021 - 3rd Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won by 10 runs,Nitish Rana,
575,Punjab Kings,Rajasthan Royals,"12th April, 2021",2021 - 4th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Punjab Kings won by 4 runs,Sanju Samson,
576,Kolkata Knight Riders,Mumbai Indians,"13th April, 2021",2021 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Mumbai Indians won by 10 runs,Rahul Chahar,
577,Royal Challengers Bangalore,Sunrisers Hyderabad,"14th April, 2021",2021 - 6th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Royal Challengers Bangalore won by 6 runs,Glenn Maxwell,
578,Delhi Capitals,Rajasthan Royals,"15th April, 2021",2021 - 7th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 3 wickets,Jaydev Unadkat,
579,Chennai Super Kings,Punjab Kings,"16th April, 2021",2021 - 8th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 6 wickets,Deepak Chahar,
580,Mumbai Indians,Sunrisers Hyderabad,"17th April, 2021",2021 - 9th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 13 runs,Kieron Pollard,
581,Kolkata Knight Riders,Royal Challengers Bangalore,"18th April, 2021",2021 - 10th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 38 runs,AB de Villiers,
582,Delhi Capitals,Punjab Kings,"18th April, 2021",2021 - 11th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Delhi Capitals won by 6 wickets,Shikhar Dhawan,
583,Chennai Super Kings,Rajasthan Royals,"19th April, 2021",2021 - 12th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Chennai Super Kings won by 45 runs,Moeen Ali,
584,Delhi Capitals,Mumbai Indians,"20th April, 2021",2021 - 13th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Delhi Capitals won by 6 wickets,Amit Mishra,
585,Punjab Kings,Sunrisers Hyderabad,"21st April, 2021",2021 - 14th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to bat,Sunrisers Hyderabad won by 9 wickets,Jonny Bairstow,
586,Chennai Super Kings,Kolkata Knight Riders,"21st April, 2021",2021 - 15th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 18 runs,Faf du Plessis,
587,Rajasthan Royals,Royal Challengers Bangalore,"22nd April, 2021",2021 - 16th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 10 wickets,Devdutt  Padikkal,
588,Mumbai Indians,Punjab Kings,"23rd April, 2021",2021 - 17th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Punjab Kings won the toss and elected to field,Punjab Kings won by 9 wickets,KL Rahul,
589,Kolkata Knight Riders,Rajasthan Royals,"24th April, 2021",2021 - 18th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,Chris Morris,
590,Chennai Super Kings,Royal Challengers Bangalore,"25th April, 2021",2021 - 19th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 69 runs,Ravindra Jadeja,
591,Delhi Capitals,Sunrisers Hyderabad,"25th April, 2021",2021 - 20th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won in super over after scores were tied,Prithvi Shaw,"Delhi Capitals 2, Sunrisers Hyderabad 0"
592,Kolkata Knight Riders,Punjab Kings,"26th April, 2021",2021 - 21st Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Eoin Morgan,
593,Delhi Capitals,Royal Challengers Bangalore,"27th April, 2021",2021 - 22nd Match,"Narendra Modi Stadium, Ahmedabad","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to field,Royal Challengers Bangalore won by 1 run,AB de Villiers,
594,Chennai Super Kings,Sunrisers Hyderabad,"28th April, 2021",2021 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Ruturaj Gaikwad,
